0,1,2
2.1e-60,202.0,XP_458993.2
6.4e-59,197.2,XP_461110.2
3.1e-56,188.5,XP_002770899.1
3.1e-53,178.8,XP_002770395.1
2.3e-50,169.5,XP_456466.1
9.899999999999999e-50,167.4,XP_461670.1
1.1e-49,167.2,XP_460066.2
3.899999999999999e-49,165.5,XP_002770207.1
1.8999999999999997e-48,163.2,XP_457028.2
1.4e-47,160.4,XP_002770127.1
9.5e-47,157.7,XP_461948.2
1.1e-46,157.5,XP_002777737.1
1.1999999999999999e-46,157.4,XP_461401.1
1.4e-45,153.9,XP_002770836.1
7.8e-45,151.5,XP_456503.2
8.299999999999999e-45,151.4,XP_462188.1
7e-44,148.4,XP_002770140.1
1.6999999999999998e-43,147.1,XP_462187.2
2.1e-38,130.6,XP_460333.2
1.3000000000000001e-37,128.0,XP_457132.2
7.6e-36,122.3,XP_002770549.1
3.5e-35,120.2,XP_462080.1
1.1e-32,112.0,XP_457270.2
1.1e-29,102.3,XP_002770607.1
1.3e-29,102.1,XP_457846.2
1.7e-22,79.0,XP_461424.2
1.3e-21,76.1,XP_460368.2
6e-21,74.0,XP_458186.2
1.3999999999999998e-20,72.8,XP_457332.2
5.699999999999999e-17,61.1,XP_460926.2
8.4e-16,57.3,XP_002770490.1
2.4e-09,36.3,XP_458749.2
6.2e-07,28.5,XP_461288.2
1.9e-05,23.6,XP_462191.1
3.2e-05,22.9,XP_456823.2
0.0001,21.3,XP_002770606.1
0.00014,20.8,XP_457511.2
0.00018999999999999998,20.4,XP_459997.2
0.0002,20.4,XP_002770032.1
0.00022,20.2,XP_457395.2
0.00047999999999999996,19.1,XP_461055.1
0.00065,18.7,XP_462342.1
0.0007700000000000001,18.4,XP_461891.1
0.0011,17.9,XP_461444.2
0.0012,17.8,XP_461620.1
0.0014,17.6,XP_460738.2
0.0017,17.3,XP_457123.1
0.0025,16.8,XP_462417.2
0.003,16.5,XP_002770608.1
0.0044,16.0,XP_459081.2
0.006,15.5,XP_458580.2
0.006999999999999999,15.3,XP_462574.1
0.0074,15.2,XP_459513.2
0.0077,15.2,XP_457473.2
0.0079,15.1,XP_461219.2
0.0093,14.9,XP_461623.2
