0,1,2
5.199999999999999e-80,269.8,NP_000918.2
5.199999999999999e-80,269.8,NP_001335873.1
5.199999999999999e-80,269.8,NP_001335875.1
5.999999999999999e-80,269.5,NP_001335874.1
5.999999999999999e-79,266.3,NP_061338.1
6.8e-79,266.1,NP_000434.1
7.399999999999999e-79,266.0,XP_011514615.2
8.399999999999997e-79,265.8,XP_011514611.3
7.4e-78,262.8,NP_001157413.1
4.5e-77,260.2,XP_016860656.1
4.9e-77,260.1,XP_011514617.2
7.099999999999998e-77,259.6,NP_061337.1
7.2e-77,259.5,XP_016867812.1
7.899999999999999e-77,259.4,XP_011514614.3
7.899999999999999e-77,259.4,XP_016860655.1
8e-77,259.4,XP_011514613.3
8e-77,259.4,XP_011514612.3
8.799999999999999e-77,259.3,XP_011514610.3
1.2999999999999998e-76,258.7,XP_016860654.1
1.3999999999999997e-76,258.7,NP_003733.2
1.3999999999999997e-76,258.6,XP_006712880.1
1.3999999999999997e-76,258.6,XP_011510379.1
1.3999999999999997e-76,258.6,XP_011510380.1
1.4999999999999997e-69,235.8,NP_525021.3
1.6999999999999997e-66,225.9,NP_001275915.1
1.6999999999999997e-66,225.8,NP_001275914.1
2.1999999999999998e-66,225.5,XP_005256997.1
6.099999999999999e-63,214.3,XP_016879504.1
7.099999999999999e-63,214.1,NP_525022.2
7.099999999999999e-63,214.1,XP_016879501.1
7.099999999999999e-63,214.1,XP_016879502.1
7.099999999999999e-63,214.1,XP_024306298.1
7.399999999999999e-63,214.1,XP_016879500.1
7.399999999999999e-63,214.1,XP_024306297.1
1.1e-62,213.5,XP_011522876.1
1.3999999999999998e-62,213.2,XP_016879895.1
1.3999999999999998e-62,213.2,XP_016879896.1
1.9e-62,212.7,NP_061142.2
1.9e-62,212.7,NP_758424.1
2e-62,212.7,NP_525023.2
2e-62,212.7,XP_016879893.1
2e-62,212.7,XP_016879894.1
1.4e-61,209.9,NP_000483.3
2.9999999999999994e-61,208.8,XP_006717059.1
2.9999999999999994e-61,208.8,NP_001597.2
3.0999999999999996e-61,208.8,NP_997698.1
2.5e-60,205.9,NP_775099.2
2.5e-60,205.9,XP_011509253.1
3.7e-60,205.3,NP_848654.3
3.7e-60,205.3,XP_011513669.1
7.3e-60,204.3,NP_056472.2
6e-59,201.4,NP_000341.2
3e-58,199.1,XP_005251833.1
3.2e-58,199.0,XP_011516644.1
3.2e-58,199.0,XP_016869871.1
3.4e-58,199.0,XP_005251830.1
3.4e-58,199.0,NP_005493.2
3.4e-58,198.9,XP_011516641.1
3.4e-58,198.9,XP_011516642.1
3.4e-58,198.9,XP_016869867.1
3.4e-58,198.9,XP_016869868.1
3.4e-58,198.9,XP_016869869.1
3.4e-58,198.9,XP_016869870.1
3.4e-58,198.9,XP_011516643.1
5.1e-58,198.4,NP_001080.2
1.4e-57,197.0,NP_001288758.1
1.4e-57,196.9,XP_005254082.1
1.4e-57,196.9,XP_016875808.1
1.4999999999999997e-57,196.8,NP_005836.2
7.4999999999999995e-56,191.3,NP_001337447.1
7.9e-56,191.3,XP_016866943.1
7.9e-56,191.3,XP_016866944.1
1.1999999999999998e-55,190.7,XP_011520782.1
1.1999999999999998e-55,190.7,XP_011520783.1
1.1999999999999998e-55,190.7,NP_001338729.1
1.4999999999999999e-55,190.4,XP_011520781.1
1.4999999999999999e-55,190.3,NP_001162.4
1.4999999999999999e-55,190.3,XP_024306029.1
2e-55,189.9,NP_258261.2
2.0999999999999998e-55,189.9,NP_001185863.1
2.2e-55,189.8,XP_016866935.1
2.2e-55,189.8,XP_016866936.1
2.2999999999999998e-55,189.7,XP_011513276.2
2.3999999999999996e-55,189.7,XP_016866934.1
4.5e-55,188.8,XP_011513438.2
4.799999999999999e-55,188.7,XP_011513436.1
4.9999999999999994e-55,188.7,XP_011513435.1
4.9999999999999994e-55,188.7,XP_011513434.1
4.9999999999999994e-55,188.7,XP_011513433.1
5.1e-55,188.6,XP_011513432.1
5.1e-55,188.6,NP_689914.3
5.700000000000001e-55,188.5,NP_001306961.1
7.299999999999999e-55,188.1,XP_016878730.1
7.9e-55,188.0,XP_011520800.1
7.9e-55,188.0,XP_016878728.1
8e-55,188.0,XP_016878727.1
8.2e-55,188.0,XP_011520799.1
8.399999999999999e-55,187.9,NP_004987.2
8.6e-55,187.9,XP_016878726.1
1.3999999999999998e-54,187.2,XP_016860981.1
1.3999999999999998e-54,187.2,XP_024309054.1
2.1000000000000003e-54,186.6,NP_005679.2
2.1000000000000003e-54,186.6,XP_005247115.1
2.1000000000000003e-54,186.6,XP_005247116.1
2.1000000000000003e-54,186.6,XP_011510616.1
4.2e-53,182.4,NP_005682.2
4.2e-53,182.4,XP_005253344.1
4.3e-53,182.4,NP_064693.2
4.3e-53,182.4,XP_005253341.1
4.3e-53,182.4,XP_005253343.1
4.3e-53,182.4,XP_005253345.1
4.3e-53,182.4,XP_011518847.1
7.099999999999999e-53,181.7,NP_150229.2
8.499999999999999e-53,181.4,XP_024306451.1
1e-52,181.2,XP_011523726.1
1.1e-52,181.1,XP_011523727.1
1.1e-52,181.1,XP_016880754.1
1.4999999999999998e-52,180.6,XP_005257820.1
1.6e-52,180.5,NP_003777.2
1.6999999999999997e-52,180.5,XP_011523724.1
1.8999999999999998e-52,180.3,XP_011523725.1
9.5e-52,178.0,NP_009099.1
1.1999999999999999e-51,177.7,XP_011521699.1
1.1999999999999999e-51,177.7,XP_016879291.1
1.1999999999999999e-51,177.7,XP_024306243.1
2.5e-51,176.6,XP_016879290.1
2.7e-51,176.5,NP_115972.2
2.7e-51,176.5,NP_149163.2
2.7e-51,176.5,XP_016879284.1
2.7e-51,176.5,XP_016879285.1
2.7e-51,176.5,XP_016879286.1
2.7e-51,176.5,XP_016879287.1
2.7e-51,176.5,XP_016879288.1
2.7e-51,176.5,XP_016879289.1
6.4e-51,175.3,XP_006719088.1
6.4e-51,175.3,XP_005253346.1
6.7e-51,175.2,XP_024307092.1
6.7e-51,175.2,XP_024307093.1
1e-50,174.6,XP_006717693.1
1.7e-50,173.9,XP_024307090.1
1.7e-50,173.9,XP_024307091.1
1.8e-50,173.9,XP_016866937.1
1.8e-50,173.9,XP_016866938.1
1.8e-50,173.9,XP_024307089.1
1.8999999999999997e-50,173.8,XP_024307088.1
2e-50,173.7,XP_024307087.1
2e-50,173.7,XP_006722679.1
2e-50,173.7,XP_024307086.1
2.0999999999999998e-50,173.7,NP_061985.2
2.0999999999999998e-50,173.7,XP_024307083.1
2.0999999999999998e-50,173.7,XP_024307084.1
2.6e-49,170.1,NP_009120.1
2.6e-49,170.1,XP_016867128.1
2.6e-49,170.1,XP_016867129.1
2.7e-49,170.0,NP_005683.2
4.5e-49,169.3,XP_016878729.1
8.499999999999999e-49,168.4,NP_000383.1
1.6999999999999998e-47,164.2,XP_016873693.1
2.9e-47,163.5,XP_024304436.1
3.1e-47,163.4,NP_001338226.1
3.1e-47,163.4,NP_000343.2
3.1e-47,163.3,NP_001338225.1
3.2e-47,163.3,NP_001274103.1
3.3e-47,163.3,NP_001338224.1
3.3e-47,163.3,XP_016873688.1
3.3e-47,163.3,XP_016873686.1
3.6e-47,163.2,XP_016873691.1
9.399999999999999e-47,161.8,XP_011510383.1
5.999999999999999e-45,155.9,XP_005253347.1
2.3e-44,154.1,XP_011513287.1
2.3e-44,154.1,XP_011513288.1
2.3e-44,154.1,XP_016866945.1
7.3e-44,152.4,XP_016878701.1
1.4e-43,151.5,NP_001081.1
4.9e-43,149.7,NP_001020262.1
2.6000000000000003e-42,147.4,XP_016866940.1
2.6000000000000003e-42,147.4,XP_016866939.1
1e-41,145.5,XP_011510617.1
2.9e-41,144.0,XP_016875810.1
9.199999999999998e-41,142.4,XP_016878731.1
1.7999999999999998e-40,141.4,NP_001338227.1
1.7999999999999998e-40,141.4,NP_060828.2
3.0999999999999997e-40,140.7,XP_011521700.1
5.2e-38,133.4,NP_660187.1
2e-37,131.5,XP_011510382.1
4.6999999999999995e-37,130.3,XP_011542438.1
5e-37,130.2,XP_024307085.1
5.9e-37,130.0,XP_011542437.1
1.1999999999999998e-36,129.0,NP_036221.2
1.3999999999999999e-36,128.7,NP_001336757.1
1.4999999999999997e-36,128.7,NP_005680.1
3.3e-36,127.6,NP_001035809.1
3.3e-36,127.6,NP_002931.2
1.7999999999999998e-35,125.2,NP_001278951.1
4.1e-35,124.0,NP_061313.2
4.1999999999999994e-35,124.0,NP_001276972.1
4.2999999999999996e-35,124.0,NP_000535.3
4.7e-35,123.8,NP_000584.2
1e-34,122.7,XP_011522494.1
1.3999999999999998e-34,122.3,XP_016873690.1
5.2e-34,120.4,NP_001258626.1
5.2e-34,120.4,NP_001258628.1
5.3e-34,120.4,NP_001258627.1
5.4e-34,120.4,XP_005253615.1
5.4e-34,120.4,XP_011536400.1
5.7e-34,120.3,NP_004290.2
5.7e-34,120.3,NP_001258625.1
6.8e-34,120.1,XP_024304677.1
9.9e-34,119.5,NP_001229943.1
1e-33,119.5,NP_982269.2
1e-33,119.5,XP_024304676.1
1.1e-33,119.4,NP_062570.1
1.3e-33,119.2,NP_062571.1
1.3e-33,119.2,XP_011536397.1
1.3e-33,119.2,XP_011536398.1
1.3e-33,119.2,XP_016874592.1
2.4999999999999998e-33,118.2,NP_001269222.1
2.7e-33,118.1,NP_001229942.1
2.9999999999999998e-33,118.0,NP_001269221.1
3.1e-33,117.9,NP_009119.2
3.2e-33,117.9,NP_001269220.1
4.099999999999999e-33,117.5,XP_011516646.1
6.1e-32,113.7,XP_024306299.1
1.4e-31,112.5,NP_001338229.1
1.4e-31,112.5,XP_024309392.1
1.4e-31,112.5,XP_024309393.1
2.1e-31,112.0,NP_001338228.1
3.4e-30,108.0,NP_071882.1
3.4e-30,108.0,NP_001344250.1
3.5e-30,108.0,XP_011531331.1
3.5e-30,108.0,XP_011531332.1
4.8e-30,107.6,XP_011528109.1
5.2e-30,107.5,NP_997511.1
5.2e-30,107.5,NP_997512.1
5.3000000000000004e-30,107.4,NP_997510.1
5.3000000000000004e-30,107.4,NP_058198.2
5.3000000000000004e-30,107.4,NP_004906.3
5.400000000000001e-30,107.4,NP_997057.1
5.400000000000001e-30,107.4,XP_011528108.1
7.4e-30,107.0,XP_024307909.1
1.1e-29,106.4,XP_011513444.1
1.2e-29,106.3,XP_011513443.1
1.2e-29,106.3,XP_016867257.1
1.2e-29,106.2,XP_016867256.1
1.3e-29,106.2,XP_011513441.1
1.3e-29,106.2,XP_011513440.1
1.3e-29,106.2,XP_011513446.1
1.3e-29,106.2,XP_011513445.1
1.4e-29,106.1,XP_011513439.1
1.6e-27,99.4,XP_006712137.1
1.6e-27,99.4,XP_011525936.1
1.6e-27,99.4,XP_011525937.1
1.6e-27,99.4,XP_016881632.1
1.8e-27,99.2,XP_011525935.1
1.8e-27,99.2,XP_006722680.1
3.5e-27,98.3,XP_005264537.1
4e-27,98.1,XP_006712136.1
4.1e-27,98.0,XP_011531326.1
4.799999999999999e-27,97.8,NP_071881.1
8.099999999999999e-27,97.1,XP_011541254.1
8.2e-27,97.1,NP_001335121.1
9.399999999999999e-27,96.9,NP_001135977.1
9.399999999999999e-27,96.9,NP_001335120.1
9.399999999999999e-27,96.9,NP_071452.2
2.4e-26,95.6,XP_016879897.1
1.8e-24,89.5,NP_001244315.1
2.2e-24,89.2,NP_001335914.1
2.2e-24,89.2,NP_001335915.1
2.2e-24,89.2,NP_001335917.1
2.2e-24,89.2,NP_001335918.1
2.2e-24,89.2,NP_004818.2
2.2e-24,89.2,XP_005263412.1
2.2e-24,89.2,XP_011530722.1
2.9999999999999996e-24,88.7,NP_001335916.1
2.9999999999999996e-24,88.7,XP_016864341.1
1.1000000000000001e-23,86.9,NP_001288759.1
1.1000000000000001e-23,86.9,XP_016875811.1
1.1000000000000001e-23,86.9,XP_016875809.1
1.1999999999999998e-23,86.8,NP_001098985.1
1.7e-22,83.1,XP_016878732.1
1.9e-22,82.9,XP_011531327.1
3.7000000000000005e-22,82.0,XP_016880755.1
3e-21,79.0,NP_001157465.1
3.4e-21,78.8,NP_001157414.1
4.9e-21,78.3,XP_011531328.1
6.6e-21,77.9,XP_011520784.1
9.6e-21,77.4,XP_016878703.1
1.1000000000000001e-20,77.2,XP_016871164.1
1.1000000000000001e-20,77.2,XP_006717694.1
1.1000000000000001e-20,77.2,XP_011537593.1
5.599999999999999e-20,74.9,XP_016866942.1
2e-19,73.1,XP_016874481.1
2.3e-19,72.9,NP_005155.1
2.3e-19,72.9,XP_011536329.1
1.1000000000000001e-18,70.7,XP_016879292.1
1.7000000000000002e-18,70.0,NP_001340535.1
1.7000000000000002e-18,70.0,NP_001340536.1
1.7000000000000002e-18,70.0,NP_001340537.1
1.7000000000000002e-18,70.0,NP_001340538.1
1.9e-18,69.9,NP_001340531.1
1.9e-18,69.9,NP_001340532.1
1.9e-18,69.9,NP_001340533.1
1.9e-18,69.9,NP_001340534.1
1.9e-18,69.9,XP_016877028.1
1.9e-18,69.9,XP_016877029.1
1.9e-18,69.9,XP_016877030.1
1.9e-18,69.9,XP_016877031.1
1.9e-18,69.9,XP_024305446.1
1.9e-18,69.9,XP_024305447.1
2.4e-18,69.6,XP_016877023.1
2.9e-18,69.3,NP_001340528.1
2.9e-18,69.3,NP_001340529.1
2.9e-18,69.3,NP_001340530.1
3.1e-18,69.2,NP_001340527.1
3.1e-18,69.2,NP_064720.1
3.1e-18,69.2,XP_024305444.1
3.1e-18,69.2,XP_024305445.1
3.2e-18,69.2,NP_001340526.1
3.3e-18,69.1,XP_024305443.1
3.4000000000000004e-18,69.1,NP_001340524.1
3.4000000000000004e-18,69.1,NP_001340525.1
3.4000000000000004e-18,69.1,XP_005267997.1
3.4000000000000004e-18,69.1,XP_005267999.1
3.7e-18,69.0,NP_001340523.1
4e-18,68.9,NP_001340522.1
4.1e-18,68.8,XP_011535343.1
4.4000000000000005e-18,68.7,NP_001340521.1
4.6e-18,68.7,NP_001340520.1
5.200000000000001e-18,68.5,NP_064730.1
5.4000000000000005e-18,68.4,NP_005041.1
9.1e-18,67.7,XP_011540179.1
3.2e-17,66.0,NP_000024.2
3.2e-17,66.0,NP_002849.1
3.3e-17,65.9,XP_006710865.2
1.8000000000000002e-13,53.8,XP_024302150.1
2.5e-13,53.3,XP_011533938.1
3.8e-13,52.7,XP_011533937.1
4.2e-13,52.6,NP_055426.1
1e-09,41.6,NP_001340539.1
2.8000000000000003e-09,40.2,XP_016877020.1
2.3e-07,33.9,XP_016874482.1
3.4e-07,33.4,XP_011531329.1
1.8000000000000001e-06,31.1,XP_016867808.1
3.3e-06,30.2,XP_016873782.1
4.2999999999999995e-06,29.8,XP_016873781.1
4.7e-06,29.7,NP_001269607.1
5.0999999999999995e-06,29.6,XP_016873780.1
5.400000000000001e-06,29.5,XP_006718966.1
5.400000000000001e-06,29.5,NP_001368.2
5.5e-06,29.5,NP_001073932.1
7.000000000000001e-06,29.1,NP_000457.1
5e-05,26.4,NP_001230076.1
5.6000000000000006e-05,26.2,XP_016856875.1
5.9e-05,26.1,NP_996671.1
5.9e-05,26.1,XP_024303135.1
7.5e-05,25.8,NP_002524.2
7.8e-05,25.7,XP_016856872.1
8.2e-05,25.7,NP_783161.1
8.2e-05,25.7,XP_005250007.1
8.8e-05,25.6,XP_016856868.1
9.300000000000001e-05,25.5,NP_001341856.1
9.300000000000001e-05,25.5,NP_001341857.1
9.300000000000001e-05,25.5,NP_009057.1
9.9e-05,25.4,XP_006715439.2
0.00015,24.8,XP_011542501.1
0.00015,24.8,XP_011542502.1
0.00016,24.7,NP_001230075.1
0.00016,24.7,XP_011542500.1
0.00016,24.7,XP_016856873.1
0.00016999999999999999,24.6,NP_001138600.2
0.00018999999999999998,24.5,NP_001269606.1
0.00021,24.3,XP_011542498.1
0.00021,24.3,XP_016856870.1
0.00021,24.3,XP_016856871.1
0.00025,24.1,XP_016856867.1
0.00026000000000000003,24.0,XP_016856869.1
0.00028,24.0,XP_016856874.1
0.00033999999999999997,23.7,NP_001316531.1
0.00033999999999999997,23.7,NP_659462.1
0.0004,23.4,NP_057225.2
0.00058,22.9,NP_062558.1
0.00058,22.9,XP_006723346.1
0.00058,22.9,XP_011525420.1
0.00063,22.8,NP_000849.1
0.00063,22.8,NP_001152863.1
0.00063,22.8,NP_001229768.1
0.00066,22.7,XP_005259115.1
0.00067,22.7,XP_016865877.1
0.0007099999999999999,22.6,NP_001186506.1
0.0007700000000000001,22.5,NP_001152862.1
0.00078,22.5,XP_016864672.1
0.0012,21.9,XP_005273161.1
0.0012,21.9,NP_001229769.1
0.0014,21.7,XP_011527276.1
0.0017,21.4,XP_016868804.1
0.0017,21.4,XP_016864673.1
0.0018,21.3,XP_016864677.1
0.002,21.2,XP_011542828.1
0.0021,21.1,XP_016868892.1
0.0022,21.1,XP_016864671.1
0.0023,21.0,NP_005252.1
0.0023,21.0,NP_859053.1
0.0023,21.0,XP_016864670.1
0.0023,21.0,NP_060796.1
0.0023,20.9,NP_001316532.1
0.0024,20.9,XP_016864675.1
0.0024,20.9,XP_011527274.1
0.0025,20.9,NP_775935.1
0.0027,20.7,XP_024310157.1
0.0028,20.7,XP_011516579.1
0.0028,20.7,NP_001010906.1
0.0029,20.7,NP_068750.2
0.0029,20.6,XP_016864676.1
0.003,20.6,NP_689785.1
0.003,20.6,XP_016864667.1
0.003,20.6,XP_016864668.1
0.003,20.6,XP_024310156.1
0.0031,20.6,XP_011542825.1
0.0031,20.6,XP_011542826.1
0.0031,20.6,NP_001360.1
0.0031,20.6,XP_016864674.1
0.0031,20.6,XP_016864669.1
0.0032,20.5,XP_005248319.2
0.0032,20.5,XP_005272226.1
0.0032,20.5,XP_005250074.1
0.0043,20.1,XP_016864861.1
0.0043,20.1,XP_011533852.1
0.0043,20.1,XP_024302118.1
0.0045,20.0,XP_016861622.1
0.0046,20.0,XP_016865873.1
0.0049,19.9,NP_001106968.1
0.0049,19.9,NP_001280626.1
0.0049,19.9,NP_001280627.1
0.0049,19.9,XP_016865875.1
0.0053,19.8,XP_016861621.1
0.0062,19.6,NP_001280625.1
0.0063,19.6,XP_011532833.1
0.0068,19.4,XP_011532832.1
0.0069,19.4,XP_011533857.1
0.0069,19.4,NP_579919.1
0.006999999999999999,19.4,XP_011533854.1
0.006999999999999999,19.4,XP_011533855.1
0.006999999999999999,19.4,XP_016864666.1
0.0076,19.3,XP_011533861.1
0.0085,19.1,NP_001265551.1
0.0085,19.1,NP_002864.1
0.0085,19.1,NP_579916.1
0.0085,19.1,NP_579920.1
0.0085,19.1,NP_579921.1
0.0085,19.1,NP_579922.1
0.0085,19.1,XP_016865170.1
0.0087,19.1,NP_579917.1
0.009000000000000001,19.1,NP_001106964.1
0.009000000000000001,19.1,NP_001106966.1
0.0094,19.0,XP_016874275.1
0.0095,19.0,XP_016861620.1
0.0098,18.9,NP_001304877.1
0.0098,18.9,XP_016861618.1
0.0098,18.9,XP_011532831.1
